xcoord,ycoord,size
981458.677419,173168.354839,3100
999220.837209,240165.976744,4300
1024659.0,186681.166667,600
998621.588235,199874.705882,1700
1005487.0,168923.333333,300
988495.904762,164553.0,2100
1022679.17647,246497.117647,1700
1042883.42857,195080.857143,700
1012738.0,220465.5,600
985912.28125,202929.453125,6400
994986.142857,177487.0,700
1016773.36364,260109.545455,1100
1001036.35294,189564.176471,1700
1001886.0,209240.333333,600
998397.0,153743.25,800
1007386.36364,238496.909091,1100
966734.0,156370.0,100
1037494.0,236109.0,100
1013018.25,193709.0,400
944417.0,171226.0,100
985735.625,186066.875,800
992211.0,227965.1,1000
1058733.0,188536.0,100
1055564.0,202214.0,300
1031297.5,216436.5,400
1025698.0,268594.5,200
1009420.88235,251271.470588,1700
986932.0,217497.0,100
1020142.0,211129.666667,300
1009683.0,182851.0,100
1040218.0,184826.0,100
1026847.0,148511.0,100
1023739.5,237118.5,200
